Year,Type,Category,Item,Amount,IsActual,IsBudget,IsPriorYear
2025/26,Revenue,"Sponsors, Grants & Memberships",Sponsorships,1500,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,711.95,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,6829.09,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Social Functions,593.38,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Social Functions,45,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Social Functions,146.25,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,1483.87,TRUE,FALSE,FALSE
2025/26,Expense,Reward and Recognition,Trophies,128.84,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Social Functions,469.45,TRUE,FALSE,FALSE
2025/26,Expense,"Coach, Captain & Player Payments",Senior Coach,500,TRUE,FALSE,FALSE
2025/26,Expense,"Coach, Captain & Player Payments",Senior Coach,1000,TRUE,FALSE,FALSE
2025/26,Revenue,Subscriptions,Senior Mens Subscription Fees,80,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,49.1,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,20,TRUE,FALSE,FALSE
2025/26,Expense,"Coach, Captain & Player Payments",Player Payments,3000,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,167.36,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,34.37,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,368,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,30,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,1046.99,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,22.25,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,28.5,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,29.72,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,779.87,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,237.64,TRUE,FALSE,FALSE
2025/26,Expense,Other,Miscellaneous,49,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Liquor Licence,343.17,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,94.94,TRUE,FALSE,FALSE
2025/26,Expense,Other,Miscellaneous,49,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,827.39,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,210.8,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,156.85,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,613.21,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,11.81,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Afternoon Tea,43.97,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Afternoon Tea,63.3,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,721.03,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,743.78,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,20,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,15,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Afternoon Tea,115,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,66.23,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,294.24,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,60,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,186.49,TRUE,FALSE,FALSE
2025/26,Expense,Other,Donations,210,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,95.9,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,195.82,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,18.92,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,34.65,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,222.75,TRUE,FALSE,FALSE
2025/26,Expense,"Coach, Captain & Player Payments",Player Payments,1000,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,248,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,11,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,31.98,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Affiliation Fees - All Abilities,220,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),260,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,273.54,TRUE,FALSE,FALSE
2025/26,Revenue,Other,Interest,16.92,TRUE,FALSE,FALSE
2025/26,Revenue,Other,Interest,0,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Social Functions,1000,TRUE,FALSE,FALSE
2025/26,Revenue,Subscriptions,Senior Mens Subscription Fees,-490,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,240.09,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,182.09,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,14.4,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,243.74,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Affiliation Fees - Juniors,850,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,68.4,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),95,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),190,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),190,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),190,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,376.37,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),190,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),190,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),190,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),285,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,21.91,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,135.8,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,228.15,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,92.5,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,75.77,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,21.8,TRUE,FALSE,FALSE
2025/26,Revenue,"Sponsors, Grants & Memberships",Sponsorships,5000,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,179.11,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,137.48,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,11,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,218.45,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,23.39,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,105.7,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Afternoon Tea,24,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Afternoon Tea,25.05,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Social Functions,1000,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,17.22,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,11,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,165.26,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,280,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,12,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,96.43,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Social Functions,224.81,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,70,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,70,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,11,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,240.28,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,450,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,13.8,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,51.98,TRUE,FALSE,FALSE
2025/26,Revenue,Other,Interest,15.26,TRUE,FALSE,FALSE
2025/26,Revenue,Other,Interest,0,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,70.5,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,380,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,33,TRUE,FALSE,FALSE
2025/26,Expense,"Coach, Captain & Player Payments",Player Payments,1000,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,13.78,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,42.57,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,145.62,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,70,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,70,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,60,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,60,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,120,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,120,TRUE,FALSE,FALSE
2025/26,Revenue,Subscriptions,Veterans Subscription Fees,105,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,140,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,120,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,70,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,70,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,70,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,70,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Social Functions,405.9,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,30.33,TRUE,FALSE,FALSE
2025/26,Expense,Other,Miscellaneous,60.7,TRUE,FALSE,FALSE
2025/26,Expense,"Coach, Captain & Player Payments",Senior Coach,1000,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,106.77,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,83.63,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Social Functions,324.52,TRUE,FALSE,FALSE
2025/26,Revenue,Subscriptions,Senior Mens Subscription Fees,1443.54,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,22.86,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,43.2,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,446.73,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,20,TRUE,FALSE,FALSE
2025/26,Revenue,Subscriptions,Veterans Subscription Fees,100,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,2.5,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,90,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,61.6,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,112.67,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Afternoon Tea,181.88,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,60,TRUE,FALSE,FALSE
2025/26,Revenue,"Sponsors, Grants & Memberships",Sponsorships,300,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,4.5,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,16.75,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,227.81,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,86.11,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),95,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),95,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),142.5,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Affiliation Fees - Juniors,170,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,T20 Competition Entry,110,TRUE,FALSE,FALSE
2025/26,Expense,"Equipment, & Uniforms & Training",Cricket Balls,324,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,External Ground Hire,491.1,TRUE,FALSE,FALSE
2025/26,Revenue,Subscriptions,Senior Mens Subscription Fees,-490,TRUE,FALSE,FALSE
2025/26,Revenue,Other,Interest,14.44,TRUE,FALSE,FALSE
2025/26,Revenue,Other,Interest,0,TRUE,FALSE,FALSE
2025/26,Expense,"Coach, Captain & Player Payments",Player Payments,1000,TRUE,FALSE,FALSE
2025/26,Revenue,Subscriptions,Junior Subscription Fees,278.88,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,33,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,860.53,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,92.2,TRUE,FALSE,FALSE
2025/26,Expense,Other,IT Charges,30,TRUE,FALSE,FALSE
2025/26,Expense,Other,Fines,500,TRUE,FALSE,FALSE
2025/26,Expense,"Equipment, & Uniforms & Training",Uniforms,2110.58,TRUE,FALSE,FALSE
2025/26,Expense,"Equipment, & Uniforms & Training",Uniforms,3914.35,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,31.48,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Social Functions,70,TRUE,FALSE,FALSE
2025/26,Expense,"Coach, Captain & Player Payments",Senior Coach,1000,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Social Functions,339.89,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,315.46,TRUE,FALSE,FALSE
2025/26,Revenue,"Sponsors, Grants & Memberships",Sponsorships,500,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,174.67,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,25,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Afternoon Tea,51.43,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,79.21,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,127.42,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,22,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Afternoon Tea,28.77,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,40.55,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,279,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,172.68,TRUE,FALSE,FALSE
2025/26,Revenue,Subscriptions,Junior Subscription Fees,88.38,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,74.28,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,90.04,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,151.8,TRUE,FALSE,FALSE
2025/26,Expense,Other,IT Charges,877.8,TRUE,FALSE,FALSE
2025/26,Expense,"Coach, Captain & Player Payments",Player Payments,1000,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,274.96,TRUE,FALSE,FALSE
2025/26,Revenue,Other,Interest,12.83,TRUE,FALSE,FALSE
2025/26,Revenue,Other,Interest,0,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,179.43,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,40,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,210.85,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,68.74,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,4.7,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,343.13,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,80,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Afternoon Tea,48.47,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,243.87,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,40,TRUE,FALSE,FALSE
2025/26,Expense,"Equipment, & Uniforms & Training",Scoreboard,23,TRUE,FALSE,FALSE
2025/26,Expense,"Equipment, & Uniforms & Training",Cricket Equipment (Club Wide - Excl. Balls),23.97,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,71.97,TRUE,FALSE,FALSE
2025/26,Revenue,Subscriptions,Junior Subscription Fees,451.72,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,42.32,TRUE,FALSE,FALSE
2025/26,Revenue,Other,Uniforms,73.65,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,68.74,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,28.77,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,186.09,TRUE,FALSE,FALSE
2025/26,Revenue,"Sponsors, Grants & Memberships",Memberships,300,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,7.96,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Afternoon Tea,25,TRUE,FALSE,FALSE
2025/26,Expense,Other,IT Charges,30,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,33.25,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Afternoon Tea,178.87,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,158.6,TRUE,FALSE,FALSE
2025/26,Revenue,Subscriptions,Senior Mens Subscription Fees,150,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Bar - Food/Drinks,8.4,TRUE,FALSE,FALSE
2025/26,Revenue,"Functions, Bar & Food",Social Functions,20,TRUE,FALSE,FALSE
2025/26,Revenue,Subscriptions,Junior Subscription Fees,279.87,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,52,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,262.88,TRUE,FALSE,FALSE
2025/26,Expense,"Functions, Bar & Food",Bar - Food/Drinks,22.5,TRUE,FALSE,FALSE
2025/26,Expense,"Equipment, & Uniforms & Training",Training,85,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),95,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),95,TRUE,FALSE,FALSE
2025/26,Expense,Game Day & Affiliation Fees,Umpires -  (Regular Season),95,TRUE,FALSE,FALSE
